timestamp,access_time,cache_hit,attack_type,cpu_usage,memory_access_pattern
100.015000,216,0,normal,0.000021,block_access_4
100.031000,642,0,normal,0.000156,block_access_9
100.043000,134,0,normal,0.000162,sequential_access_0
100.062000,584,0,normal,0.000165,block_access_8
100.075000,198,0,normal,0.000167,random_access_4
100.086000,134,0,normal,0.000170,stride_access_8
100.103000,136,0,normal,0.000172,random_access_7
100.120000,136,0,normal,0.000174,sequential_access_1
100.139000,146,0,normal,0.000176,random_access_4
100.152000,128,0,normal,0.000179,sequential_access_5
100.171000,132,0,normal,0.000181,stride_access_5
100.190000,134,0,normal,0.000183,random_access_8
100.209000,134,0,normal,0.000185,random_access_4
100.222000,132,0,normal,0.000187,block_access_0
100.241000,136,0,normal,0.000190,random_access_3
100.257000,136,0,normal,0.000192,stride_access_8
100.274000,136,0,normal,0.000194,stride_access_8
100.285000,136,0,normal,0.000196,random_access_2
100.297000,134,0,normal,0.000198,random_access_0
100.307000,134,0,normal,0.000200,block_access_1
100.326000,138,0,normal,0.000203,stride_access_1
100.345000,136,0,normal,0.000205,block_access_3
100.359000,130,0,normal,0.000207,stride_access_8
100.374000,134,0,normal,0.000209,sequential_access_3
100.387000,138,0,normal,0.000211,random_access_2
100.399000,132,0,normal,0.000213,stride_access_4
100.418000,138,0,normal,0.000215,stride_access_4
100.435000,136,0,normal,0.000217,stride_access_9
100.452000,138,0,normal,0.000220,stride_access_7
100.470000,140,0,normal,0.000222,stride_access_8
100.480000,132,0,normal,0.000224,stride_access_5
100.490000,130,0,normal,0.000226,sequential_access_5
100.509000,138,0,normal,0.000228,random_access_3
100.527000,130,0,normal,0.000230,random_access_3
100.544000,136,0,normal,0.000232,sequential_access_7
100.558000,138,0,normal,0.000234,sequential_access_5
100.571000,132,0,normal,0.000237,sequential_access_3
100.585000,136,0,normal,0.000239,random_access_4
100.602000,134,0,normal,0.000241,block_access_6
100.614000,130,0,normal,0.000243,random_access_7
100.631000,138,0,normal,0.000245,block_access_3
100.641000,138,0,normal,0.000247,random_access_5
100.656000,132,0,normal,0.000250,stride_access_8
100.674000,130,0,normal,0.000252,random_access_9
100.685000,134,0,normal,0.000254,sequential_access_1
100.701000,138,0,normal,0.000256,random_access_7
100.718000,136,0,normal,0.000258,block_access_5
100.736000,132,0,normal,0.000260,stride_access_1
100.748000,138,0,normal,0.000262,block_access_5
100.759000,138,0,normal,0.000265,stride_access_4
100.773000,136,0,normal,0.000267,sequential_access_6
100.787000,134,0,normal,0.000269,random_access_2
100.803000,134,0,normal,0.000271,random_access_7
100.822000,136,0,normal,0.000273,stride_access_2
100.837000,130,0,normal,0.000275,block_access_7
100.850000,134,0,normal,0.000277,stride_access_3
100.869000,132,0,normal,0.000279,stride_access_7
100.883000,136,0,normal,0.000282,block_access_0
100.896000,136,0,normal,0.000284,stride_access_8
100.912000,130,0,normal,0.000286,sequential_access_0
100.923000,134,0,normal,0.000288,random_access_2
100.938000,134,0,normal,0.000290,sequential_access_2
100.949000,134,0,normal,0.000292,block_access_1
100.966000,136,0,normal,0.000294,stride_access_6
100.981000,134,0,normal,0.000296,random_access_9
100.993000,126,0,normal,0.000299,block_access_2
101.008000,130,0,normal,0.000301,sequential_access_8
101.021000,136,0,normal,0.000303,stride_access_2
101.036000,144,0,normal,0.000305,sequential_access_6
101.054000,138,0,normal,0.000307,sequential_access_1
101.068000,130,0,normal,0.000309,sequential_access_9
101.081000,134,0,normal,0.000312,random_access_1
101.098000,132,0,normal,0.000314,stride_access_1
101.110000,138,0,normal,0.000316,block_access_1
101.122000,134,0,normal,0.000318,random_access_7
101.133000,138,0,normal,0.000320,block_access_7
